anakjakartaasikasik,anak jakarta asyik asyik
menyelamaykan,menyelamatkan
merapihkan,merapikan
merespon,menjawab
merhatiin,memperhatikan
meridhoi,meridai
meriksa,memeriksa
meris,miris
mesen,memesan
mgkin,mungkin
mgkn,mungkin
mgunakan,guna
mhs,mahasiswa
mhsw,mahasiswa
mhujat,menghujat
miapa,demi apa
miapah,demi apa
mikir,pikir
mikirin,memikirkan
milih,memilih
milyaran,miliar
mimpin,pimpin
minds,pikiran
mingkem,diam
minjem,pinjam
misala,misal
mjaga,menjaga
mjd,jadi
mka,maka
mkan,makan
mkanan,makan
mkanya,makanya
mkn,makan
mknan,makan
mkny,makanya
mksd,maksud
mksdny,maksudnya
mksdnya,maksudnya
mksdq,maksudku
mksh,terima kasih
mksih,terima kasih
mkstnya,maksudnya
mlah,malah
mlancarkan,melancarkan
mlawan,lawan
mlayu,lari
mlh,malah
mlihatmu,melihatmu
mlm,malam
mls,malas
mmbencii,membenci
mmbla,membela
mmg,memang
mmikirkan,memikirkan
mmng,memang
mmpraktekkannya,mempraktikannya
mn,mana
mna,mana
mncium,mencium
mndengar,mendengar
mndg,lebih baik
mndgn,lebih baik
mndgr,mendengar
mndi,mandi
mnding,lebih baik
mndpt,dapat
mndptkn,dapat
mndukung,dukung
mndukungmu,mendukungmu
mnebar,menebar
mnenangkn,menenangkan
mng,menang
mnghemat,menghemat
mnghilang,menghilang
mnghna,menghina
mnghukumny,menghukumnya
mngkin,mungkin
mnista,menista
mnjadi,jadi
mnjaga,menjaga
mnjatuhkan,menjatuhkan
mnjdi,jadi
mnjtuhkan,menjatuhkan
mnkoplhukam,menko polhukam
mnkumham,menteri hukum dan hak asasi manusia
mnrt,turut
mnt,minta
mnta,minta
mntp,mantap
mntri,menteri
mnum,minum
mnunggu,menunggu
mnyatu,menyatu
mnyngkn,menyenangkan
mo,mau
modyare,mati
moga,semoga
moslems,muslim
mosok,masa
motong,memotong
mreka,mereka
mrh,marah
mrka,mereka
msalah,masalah
msg,masing
msh,masih
msi,masih
msih,masih
msjid2,masjid masjid
msk,masuk
mski,meski
mskn,masakan
msl,misal
mslh,masalah
msti,harus
msuk,masuk
msuport,dukung
msyarakat,masyarakat
mudahmudahan,mudah mudahan
mudhmudhn,mudah mudahan
muke,muka
mukeje,muka jelek
multiwarna,banyak warna
mulutmuharimaumu,mulutmu harimaumu
mulutny,mulutnya
mulutrusakbasukiditolak,mulut rusak basuki ditolak
munafikun,munafik
munafiq,munafik
munafiqun,munafik
muncuk,muncul
munculah,muncul
musnahkn,memusnahkan
musti,harus
musuhmusuhnya,musuh musuhnya
muup,maaf
muuv,maaf
mz,mas
n,dan
nabung,menabung
naek,naik
nagara,negara
nahan,menahan
nahu,tahu
nambah,tambah
named,dinamakan
nang,di
nangiss,menangis
nantangin,tantang
nanya,bertanya
naon,apa
napa,kenapa
nape,kenapa
napsu,nafsu
nasgor,nasi goreng
nax,ingin
ncib,persib
nda,tidak
ndak,tidak
ndakk,tidak
ndax,tidak
ndk,tidak
ndoweh,dower
ndukung,dukung
nego,negosiasi
negri,negeri
negriku,negeriku
neh,nih
neko,macam
nelen,menelan
nemenin,menemani
nemu,temu
nenangin,menenangkan
nengok,menengok
nextnya,lanjut
nga,tidak
ngabungin,menggabungkan
ngacir,kabur
ngaco,kacau
ngadain,mengadakan
ngahok,ahoker
ngajak,mengajak
ngajar,mengajar
ngajarin,mengajarkan
ngaji,mengaji
ngak,tidak
ngakak,tertawa
ngakali,mengakali
ngaku,mengakui
ngakunya,mengakuinya
ngalahin,alah
ngalahkan,alah
ngambek,mengambek
ngambil,ambil
ngamuk,mengamuk
ngancam,mengancam
nganiaya,menganiaya
nganter,mengantar
nganterin,mengantarkan
ngantri,mengantre
nganu,anu
ngapa,kenapa
ngapain,apa
ngarep,mengharap
ngaruh,berpengaruh
ngasi,beri
ngasih,beri
ngatain,memaki
ngatur,atur
ngawasi,mengawasi
ngebacot,bacot
ngebales,membalas
ngebelain,membela
ngedit,mengedit
ngefek,berakibat
ngegosip,menggosipkan
ngeh,tau
ngejar,mengejar
ngejatuhin,menjatuhkan
ngelarang,larang
ngelewati,melewati
ngeliat,lihat
ngeliatin,lihat
ngeluh,mengeluh
ngembat,mengembat
ngena,mengena
ngene,ini
ngerasa,merasa
ngerasain,merasakan
ngerjain,mengerjakan
ngerokok,merokok
ngerti,mengerti
ngerti2,tau tau
ngetik,mengetik
ngetrend,mengetren
ngetweet,mentwit
ngg,tidak
ngga,tidak
nggax,tidak
nggesek,menggesek
nggk,tidak
nggosok,menggosok
ngibul,menipu
ngidam,mengidam
ngikutin,ikut
ngilangin,menghilangkan
ngimpi,memimpikan
ngincer,mengincar
nginep,menginap
ngingetin,ingat
ngisiin,mengisikan
ngjk,mengajak
ngk,tidak
nglawan,lawan
nglunjak,lonjak
ngmbl,ambil
ngmg,berbicara
ngmng,berbicara
ngmpl,kumpul
ngmps,ke kampus
ngntk,mengantuk
ngntr,ke kantor
ngobatin,mengobati
ngobrol,mengobrol
ngomong,berbicara
ngomonge,bicaranya
ngomongin,membicarakan
ngopi,minum kopi
ngorek,mengorek
ngotorin,mengotori
ngrusak,merusak
ngucapin,mengucapkan
ngumpul,kumpul
ngundang,mengundang
ngungsi,mengungsi
ngunpulin,kumpul
ngunu,anu
ngunyah,mengunyah
ngupload,mengunggah
nguras,menguras
ngurus,mengurus
ngurusin,mengurus
ngutip,mengutip
ni,nih
nich,nih
nie,nih
nimbulin,timbul
ninggalin,meninggalkan
niru2,meniru
niy,nih
njink,anjing
nmbh,tambah
nmny,namanya
nmpk,tampak
nmr,nomor
nnti,nanti
nntn,menonton
nnton,menonton
nocomment,tidak berkomentar
nolak,menolak
nonggol,nongol
nongkie,nongkrong
nonton,menonton
nov,november
novnovnov,november
nraktir,mentraktir
ntah,entah
ntar,nanti
nti,nanti
ntn,menonton
nton,menonton
ntr,nanti
ntu,itu
nulis,menulis
numbers,nomor
numpang,menumpang
nunggu,menunggu
nungguin,menunggu
nunjuk,tunjuk
nuntut,menuntut
nurunin,menuruni
ny,nya
nyahok,ahok
nyahoq,ahok
nyakitin,menyakiti
nyalain,menyalakan
nyama,sama
nyampe,sampai
nyang,yang
nyangka,sangka
nyantai,bersantai
nyari,cari
nyebar,menyebar
nyebarin,menyebarkan
nyebelin,menyebalkan
nyebut,menyebut
nyerah,menyerah
nyerang,menyerang
nyesek,menyesal
nyesel,menyesal
nyetel,menyetel
nyiksa,menyiksa
nykap,ibu
nykapz,ibu
nykp,ibu
nyoba,mencoba
nyobain,mencoba
nyoblos,mencoblos
nyodorin,menyodorkan
nyogok,menyogok
nyokap,ibu
nyuci,mencuci
nyumbang,menyumbang
nyundul,menyundul
nyunsep,terperosok
nyuri,mencuri
nyuruh,menyuruh
nyusul,susul
oatau,atau
oataupolri,atau polri
oc,oke
oce,oke
ohh,oh
ok,oke
okay,oke
okedech,oke deh
okedeh,oke deh
okeh,oke
okesiip,oke sip
okt,oktober
okz,oke
ol,online
olang,orang
olh,oleh
opo,apa
opportunis,oportunis
optimisx,optimis
ora,tidak
orenken,orenkan
org,orang
org2,orang orang
orgnya,orangnya
orng,orang
orngbaik,orang baik
ortu,orang tua
otong,titit
ouch,oh
ouh,oh
owh,oh
pa,pak
paakk,pak
pagi2,pagi pagi
pait,pahit
pakafif,pak afif
pakcik,pak cik
pake,pakai
pakek,pakai
palawan,pahlawan
pamerin,memamerkan
panasbug,panasbung
pantengin,perhatikan
pantes,pantas
pantesan,pantas saja
parlimen,parlemen
pasu,pasukan
pasutri,pasangan suami istri
paz,pas
pcr,pacar
pcrn,pacaran
pcrny,pacarnya
pda,pada
pdahal,padahal
pdhal,padahal
pdhl,padahal
pdukung,pendukung
pebruari,februari
pedes,pedas
pegi,pergi
pelajrn,pelajaran
pelcija,persija
pemaen,main
pemerintahanya,perintah
pemimpinsejati,pemimpin sejati
pemmpin,pimpin
pemrintah,perintah
pen,ingin
pengadila,pengadilan
pengen,ingin
penghadangan,pengadangan
pengin,ingin
peningg,pening
penistaagama,penista agama
penistaalquran,penista alquran
penistaquran,penista alquran
penjagannya,penjaganya
penjarakanaho,penjarakan ahok
penjarakanahok,penjarakan ahok
penjarakanpenistaagama,penjarakan penista agama
penjarakanpenistagama,penjarakan penista agama
penjarkan,penjarakan
penjarq,penjarakan
penunggangatauaktor,penunggang atau aktor
penyelasain,penyelesaian
peradilankan,peradilan
perduli,peduli
perjuanganmasihpanjang,perjuangan masih panjang
perlemen,parlemen
permanent,permanen
persiden,presiden
pertanggungjawabannya,tanggung jawabnya
perusakke,perusak
pesen,pesan
pg,pergi
pgen,ingin
pghadangan,pengadangan
pghargaan,penghargaan
pghasiln,penghasilan
pgluarn,pengeluaran
pgn,ingin
phenomenal,fenomenal
pict,gambar
pidakan,pidanakan
pilem,film
pilkasa,pemilihan kepala daerah
pilm,film
piluh,pilu
pingin,ingin
pinjem,pinjam
pinter,pintar
pinteran,lebih pintar
pipel,orang
pisan,banget
pjagaannya,penjaganya
pjebat,pejabat
pk,pak
pkai,pakai
pke,pakai
pkl,pukul
plaku,pelaku
planggaran,pelanggaran
playing,memainkan
plersija,persija
plg,pulang
plintar,pintar
plis,tolong
pljrn,pelajaran
plng,pulang
pls,tolong
pmimpin,pimpin
pncitraan,pencitraan
pndh,pindah
pndkng,pendukung
pngecu,pengecut
pngen,ingin
pngn,ingin
pngorbananmu,pengorbananmu
pngusung,pengusung
pnistaan,penistaan
pnjng,panjang
pnting,penting
pntng,penting
pny,punya
pnya,punya
pokoe,pokoknya
pokokny,pokoknya
pokonya,pokoknya
polih,pulih
political,politik
politicians,polutikus
politk,politik
polriharusnetral,polri harus netral
poltik,politik
praktek,praktik
praperadilanpengadilan,praperadilan pengadilan
prasaan,perasaan
prayforahok,pray for ahok
prgi,pergi
prilaku,perilaku
prmhn,perumahan
prmptn,perempatan
prnah,pernah
prnh,pernah
programataujanji,program atau janji
proove,bukti
proseshukum,proses hukum
provocated,terprovokasi
prtai,partai
prthnkn,pertahankan
psantren2,pesantren pesantren
psl,pasal
psng,pasang
psr,pasar
pst,pasti
psti,pasti
ptg,penting
pulitik,politik
puna,punah
punye,punya
pura2,pura pura
puser,pusar
putaranpilkada,putaran pilkada
putaransaja,putaran saja
puter,putar
puterin,memutari
pzt,pasti
q,aku
qaqa,kakak
qq,kakak
qt,kita
qta,kita
quran,alquran
rabb,rabi
rabbal,rabi
rabbika,rabi
rada,agak
raimu,mukamu
rakyatcerdas,rakyat cerdas
rame,ramai
rame2,ramai ramai
rameken,ramaikan
ramekeun,ramaikan
rangorang,orang orang
rasane,rasanya
rates,nilai
rb,ribu
rbuan,ribu
reak,teriak
reborn,lahir kembali
rebuan,ribuan
rekayasana,rekayasanya
renew,memperbarui
ributin,meributkan
ripd,daripada
riziek,rizieq
riziq,rizieq
rkyt,rakyat
rmbt,rambut
rmh,rumah
rmhq,rumahku
robb,allah
roll,gulungan
rosulullah,rasulullah
rp,rupiah
rsk,rusak
rumongso,turut
runs,lari
rushmoney,rush money
sabeb,bebas
sabi,bisa
saje,saja
salaam,salam
salahny,salahnya
salamdamai,salam damai
salamsalamjarisolo,salam dari solo
salamsatuputaran,salam satu putaran
salfok,salah fokus
salh,salah
saloom,salam
saltum,salah kostum
samapai,sampai
samapi,sampai
sambel,sambal
samo,sama
sampe,sampai
sante,santai
sape,siapa
sare,tidur
satua,satu
satuputaran,satu putaran
saveahok,save ahok
savefpideleteahok,save fpi delete ahok
saveindonesia,save indonesia
savepakahok,save pak ahok
savetolerance,save toleransi
sayah,saya
sayamerasakan,saya merasakan
sbagai,sebagai
sbar,sabar
sbb,sebab
sberapa,seberapa
sbg,sebagai
sbgai,sebagai
sbgi,sebagai
sbh,subuh
sbl,sebelah
sblh,sebelah
sblhny,sebelahnya
sblm,belum
sblmny,belum
sblmnya,belum
sbnr,benar
sbnrny,benar
sbnrnya,benar
sbnt,sebentar
sbntr,sebentar
sbr,sabar
sbtr,sebentar
sbuk,sibuk
sbun,sabun
sbyahy,susilo bambang yudhoyono
sbyudhoyono,susilo bambang yudhoyono
scpatnya,secepatnya
scr,cara
sdah,sudah
sdarla,sadarlah
sdg,sedang
sdgkan,dang
sdgkn,dang
sdh,sudah
sdng,sedang
sdngkn,dang
sdrlah,sadarlah
se7,setuju
seadilseadilnya,seadil adilnya
sebarken,sebarkan
sebel,kesal
sebenernya,benar
seberatseberatnya,seberat beratnya
sediih,sedih
segitu,sebegitu
segra,segera
sejujur,sejujurnya
sekola,sekolah
sekolompok,kelompok
selaen,selain
selajutnya,lanjut
selaw,santai
selegowo,legawa
selfinya,swafotonya
selow,santai
semalem,semalam
semanga,semangat
semangatt,semangat
semangkin,semakin
sembaranagan,sembarang
sembuhin,sembuhkan
semngt,semangat
sempet,sempat
senen,senin
seneng,senang
sensi,buka
sensitifitas,sensitivitas
sentara,sementara
senyumaja,senyum saja
seorg,orang
seorng,orang
separo2,setengah setengah
seranganjantung,serangan jantung
serem,seram
sesek,sesak
seseorg,seseorang
setakat,sepakat
sgala,segala
sgelintir,segelintir
sgl,segala
sgpore,singapura
sgra,segera
sgt,sangat
shap,siap
shaps,siap
shbt,sahabat
shipping,pengangkutan
sholatnya,salatnya
shopback,belanja kembali
shrusnya,seharusnya
sia,kamu
siapin,siapkan
sibangsat,si bangsat
sich,sih
sidi,sidik
sihat,sehat
siiaapp,siap
sikaat,sikat
sikafir,si kafir
sikaya,si kaya
simpat,sempat
singkron,sinkron
sionta,si onta
situh,kamu
sj,saja
sja,saja
sjak,sejak
sjujurnya,sejujurnya
ska,suka
skali,sekali
skalian,sekalian
skalipun,sekalipun
skarang,sekarang
skg,sekarang
skit,sakit
sklh,sekolah
sklompok,kelompok
skola,sekolah
skolah,sekolah
skr,sekarang
skrang,sekarang
skrg,sekarang
skrng,sekarang
skrny,sekiranya
slah,salah
slalu,selalu
slamanya,selamanya
slamat,selamat
slanjutnya,lanjut
slesai,selesai
slese,selesai
slg,saling
slh,salah
slhkn,salahkan
sll,selalu
sllu,selalu
slm,salam
slmat,selamat
slmt,selamat
slse,selesai
slseikan,selesaikan
sluruh,seluruh
sm,sama
sma,sama
smakin,semakin
smangat,semangat
smbg,sambung
smbh,sembuh
smbhyg,sembahyang
smbil,sambil
smbl,sambil
smbng,sambung
smbrg,sembarang
smbuh,sembuh
smcm,semacam
smengat,semangat
smg,semoga
smga,semoga
smgt,semangat
smgtt,semangat
smlm,semalam
smlmn,semalaman
smngt,semangat
smntr,sementara
smoga,semoga
smpai,sampai
smpe,sampai
smpt,sempat
smua,semua
smuanya,semuanya
sndiri,sendiri
sndri,sendiri
sngaja,sengaja
sngt,sangat
sni,sini
soale,soal
socmed,media sosial
sodara,saudara
sodaraku,saudaraku
sohib,sahabat
sokap,ayah
soksokan,sok gaya
solat,salat
solodaritas,solidaritas
songang,songong
sono,sana
soo,jadi
sopo,siapa
sorang,orang
sory,maaf
sosmednya,media sosialnya
speachless,terdiam
spele,sepele
sperti,seperti
spertii,seperti
spertinya,sepertinya
spnjng,panjang
sprt,seperti
sprti,seperti
sprtny,sepertinya
spti,seperti
sptny,sepertinya
spy,supaya
srg,sering
srigala,serigala
srta,serta
staystrong,tetap kuat
stelah,telah
stgh,setengah
stiap,tiap
stlah,telah
stlh,telah
stngh,setengah
strength,kekuatan
stronger,lebih kuat
stts,status
sttus,status
sudh,sudah
suer,sumpah
sumpahin,menyumpahi
supo,super
surban,serban
surveynya,survei
sy,saya
sya,saya
syg,sayang
sygny,sayangnya
syilvie,sylvi
syipp,sip
sylviterus,sylvi terus
symbol,simbol
symuslim,saya muslim
syng,sayang
syp,siapa
system,sistem
taatulama,taat ulama
tabokin,menabok
tae,tai
tahanahok,tahan ahok
taik,tai
taiker,tai
taikers,tai
tajem,tajam
takbela,tidak membela
takda,tidak ada
talking,membicarakan
tambahin,tambahkan
tampa,tanpa
tampang2,tampang tampang
tandinga,tandingan
tangkapahok,tangkap ahok
tangkappenistaagama,tangkap penista agama
tangkappenjarakan,tangkap penjara
tangkep,tangkap
tanpapakai,tanpa pakai
tanye,tanya
taon,tahun
taonan,tahunan
tauk,tau
taun,tahun
tawakalna,tawakal
tawaw,tawa
td,tadi
tdi,tadi
tdk,tidak
tdny,tadinya
tdr,tidur
tdur,tidur
teesangka,tersangka
teeyus,terus
tegakang,tegakkan
tegakin,tegakkan
tekibul,terkibul
telor,telur
telp,telepon
telpon,telepon
temans,teman
temen,teman
temen2,teman teman
temenan,berteman
temenin,temani
tenaang,tenang
tenatng,tenang
tenggelemin,tenggelamkan
tep,tetap
tepelongo,terperanjat
teraniyaya,teraniaya
terasangka,tersangka
terdzolimi,terzalimi
terimakasih,terima kasih
terjalimi,terzalimi
terjd,jadi
terjerembab,terjerembap
teroos,terus
terorganisiir,terorganisasi
teros,terus
tersangak,tersangka
tersangk,tersangka
tersengka,tersangka
tertwa,tertawa
teruss,terus
terzolimi,terzalimi
tesangka,tersangka
tetapahok,tetap ahok
tetapahokdjarot,tetap ahok djarot
tetapkawal,tetap kawal
tetapsemangatahok,tetap semangat ahok
tetapwaspada,tetap waspada
tetat,tetap
tetatplah,tetaplah
tetep,tetap
tetet,tetap
teteup,tetap
tgg jwb,tanggung jawab
tggu,tunggu
tgh,tengah
tangl,tanggal
tnggl,tanggal
tngal,tanggal
tgn,tangan
tgs,tugas
thanks,terima kasih
thats,itu
thd,hadap
thdp,hadap
theirs,mereka
thia,ini
things,berpikir
thn,tahun
thnx,terima kasih
thrust,memercayai
thx,terima kasih
tiati,hati hati
tiba2,tiba tiba
tidka,tidak
timlen,lini masa
timses,tim sukses
tinggalin,tinggalkan
tionghowa,tionghoa
tipi,televisi
tipu2,tipu tipu
titled,judul
titokarna,tito karnavian
tjadi,jadi
tjahaya,tjahaja
tjanggih,canggih
tjd,jadi
tkg,tukang
tkut,takut
tl,lini masa
tlg,tolong
tlh,telah
tlng,tolong
tlp,telepon
tlpn,telepon
tmbah,tambah
tmbh,tambah
tmen,teman
tmn,teman
tmnnya,temannya
tmpat,tempat
tmpt,tempat
tmsk,masuk
tnjakan,tanjakan
tnpa,tanpa
tny,nyata
tnya,tanya
tnyt,nyata
tobatt,tobat
toe,itu
toleransidamai,toleransi damai
topmarkotop,top
tp,tetapi
tpi,tetapi
tq,terima kasih
tranding,tren
transferanya,transferannya
trbayang,terbayang
trdakwa,terdakwa
trdpt,terdapat
treak,teriak
trending,mengetren
trends,tren
trgntng,tergantung
trima,terima
trims,terima kasih
trimz,terima kasih
trjadi,jadi
trkdng,terkadang
trkenal,kenal
trkhr,akhir
trlalu,terlalu
trmasuk,masuk
trmksh,terima kasih
trmsk,masuk
trnsfr,transfer
trnyata,nyata
trnyt,nyata
trnyta,nyata
trpeleset,terpeleset
trpengaruh,terpengaruh
trpksa,paksa
trpuruk,terpuruk
trs,terus
trsangka,tersangka
trsngk,tersangka
trsngka,tersangka
trsrh,terserah
trumps,trump
trus,terus
truss,terus
tsangka,tersangka
tsb,sebut
tsbt,sebut
tsk,tersangka
ttangga,tetangga
ttap,tetap
ttep,tetap
ttg,tentang
ttng,tentang
ttp,tetap
tu,itu
tuch,itu
tuh,itu
tuk,untuk
tukeran,tukaran
tungu,tunggu
tvnya,televisinya
tw,tau
twins,kembar
tydack,tidak
tyranny,tirani
u,kamu
ubat,obat
ucapqn,ucapan
udah,sudah
udd,sudah
udeh,sudah
udh,sudah
udhga,sudah tidak
ue,gue
uga,juga
ugalugalan,ugal ugalan
ujan2an,hujan hujanan
ujungujungnya,ujung ujungnya
ummat,umat
umumin,mengumumkan
ungkapkn,mengungkapkan
untk,untuk
untkmu,untukmu
untukv,untukku
usak,rusak
ustot,ustaz
utk,untuk
uuduud,undang undang dasar
uwong,orang
vidio,video
von,menelepon
vote,memilih
voters,pemilih
vroh,bro
w,gue
wad,buat
waduhh,waduh
wae,saja
waktuny,waktunya
walopun,walaupun
wassalamukum,wasslamualaykum
wat,buat
ways,arah
welkam,selamat datang
whats,apa
wings,sayap
wins,menang
wkakwk,wkwk
wkt,waktu
wktu,waktu
wkwkwkkw,wkwk
wkwkwkwk,wkwk
wkwkwkwwk,wkwk
wl,walau
wlopun,walaupun
wlpun,walaupun
wlwpn,walaupun
wong,orang
words,kata
wow,wah
wuih,wah
y,iya
yaa,ya
yah,ya
yak,ya
yakk,ya
yank,sayang
yaopo,ya apa
yap,iya
yaudah,ya sudah
yaudh,ya sudah
yaw,iya
ye,iya
yg,yang
ygvtidak,yang tidak
yh,ya
yng,yang
yo,iya
yoi,iya
ysalaharah,salah arah
yup,iya
yups,iya
yupz,iya
ywdh,ya sudah
zholim,zalim
zholimi,zalim
zolimi,menzalimi
zong,apes
zupeer,super
20tahunpks,20 tahun pks
2018gantigubernur,2018 ganti gubernur
2019asalbukanjokowi,2019 asal bukan jokowi
2019forjkw,2019 for jokowi
2019gantikacung,2019 ganti kacung
2019g,2019 ganti presiden
2019ga,2019 ganti presiden
2019ganti,2019 ganti presiden
2019gantip,2019 ganti presiden
2019gantipesinden,2019 ganti presiden
2019gantipre,2019 ganti presiden
2019gantipres,2019 ganti presiden
2019gantipresid,2019 ganti presiden
2019gantipreside,2019 ganti presiden
2019gantipresiden,2019 ganti presiden
2019gantipresidenbaru,2019 ganti presiden baru
2019gantipresidenkacung,2019 ganti presiden kacung
2019gantirezim,2019 ganti rezim
2019gantisistem,2019 ganti sistem
2019gantitelor,2019 ganti telor
2019jokowilagi,2019 jokowi lagi
2019jokowilanjutkan,2019 jokowi lanjutkan
2019jokowiend,2019 jokowi selesai
2019kitatetapjokowi,2019 kita tetap jokowi
2019lanjutjokowi,2019 lanjut jokowi
2019pilihjokowi,2019 pilih jokowi
2019prabowoanismatta,2019 prabowo anis matta
2019prabowopresiden,2019 prabowo presiden
2019prabowopresident08,2019 prabowo presiden
2019prabowori1,2019 prabowo satu
2019presidenbaru,2019 presiden baru
2019tenggelamkanjokowikesungaisiak,2019 tenggelamkan jokowi ke sungai siak
2019t3tapjokowi,2019 tetap jokowi
2019tetapjokow,2019 tetap jokowi
2019tetapjokowi,2019 tetap jokowi
2019tetapjokowiganti,2019 tetap jokowi ganti
2019tetapjokowiyangdiganti,2019 tetap jokowi yang diganti
abal2,abal abal
aagym,abdullah gymnastiar
4bdurrahman,abdurrahman
aadren,adrenal
aaghr,ah
aah,ah
aahh,ah
aarrgghh,ah
aakuu,aku
aaminn,amin
aanjing,anjing
aarman,arman
aaron,aron
abah,ayah
abam,ayah
6ambang,bambang
8angsat,bangsat
80kg,delapan puluh kilogram
80an,delapan puluhan
8an,delapanan
2jtnya,dua jutanya
2x,dua kali
2periode,dua periode
24rb,dua puluh empat ribu
20menit,dua puluh menit
20rb,dua puluh ribu
20tahun,dua puluh tahun
27-jun,dua puluh tujuh juni
27m,dua puluh tujuh meter
260jt,dua ratus enam puluh juta
250juta,dua ratus lima puluh juta
200rbu,dua ratus ribu
298m,dua ratus sembilan puluh delapan meter
200an,dua ratusan
2th,dua tahun
2thn,dua tahun
2untukjabar,dua untuk jawa barat
2untukjatim,dua untuk jawa timur
14rb,empat belas ribu
4d,empat dimensi
4jam,empat jam
4x,empat kali
4minute,empat menit
48km,empat puluh delapan kilometer
48g,empat puluh gram
40an,empat puluhan
400km,empat ratus kilometer
400t,empat ratus triliun
4tahun,empat tahun
16gb,enam belas giga byte
16jam,enam belas jam
16th,enam belas tahun
6line,enam garis
65kg,enam puluh lima kilogram
6t,enam triliun
5in1,five in one
aa,kakak
_klompok,kelompok
_kepada,kepada
15jt,lima belas juta
5x,lima kali
5katauntukhariini,lima kata untuk hari ini
50rb,lima puluh ribu
53thgolkar,lima puluh tiga tahun golkar
500an,lima ratusan
5th,lima tahun
1st,pertama
1jt,satu juta
1kg,satu kilogram
1periode,satu periode
1t,satu triliun
93tahun,sembilan puluh tiga tahun
97miliar,sembilan puluh tujuh miliar
9th,sembilan tahun
10jt,sepuluh juta
10kk,sepuluh juta
10k,sepuluh ribu
10rb,sepuluh ribu
10th,sepuluh tahun
120k,seratus dua puluh ribu
145k,seratus empat puluh lima ribu
149rb,seratus empat puluh sembilan ribu
515ukm4w4t1,si sukmawati
2oeharto,soeharto
5oekarno,soekarno
3some,threesome
13rb,tiga belas ribu
3jari,tiga jari
3lauk10ribu,tiga lauk sepuluh ribu
30s,tiga puluh detik
35ribu,tiga puluh lima ribu
35t,tiga puluh lima triliun
30m,tiga puluh meter
30rb,tiga puluh ribu
30an,tiga puluhan
300an,tiga ratusan
3tahun,tiga tahun
7oko,toko
17an,tujuh belasan
75jt,tujuh puluh lima juta
7th,tujuh tahun
ngacak,acak
nadakah,adakah
nadalah,adalah
nade,adik
nadek,adik
nadilkan,adilkan
nadilnya,adilnya
ngadmin,admin
nagak,agak
nagama,agama
nahok,ahok
najaran,ajar
nakhir2,akhir akhir
nakhirnya,akhir
nakibat,akibat
nakibatnya,akibat
naktivis,aktivis
naku,aku
nane,aku
naq,aku
naqu,aku
nakun,akun
nalbum,album
nalesane,alesannya
nalhamdulillah,alhamdulillah
nalhmadulilah,alhamdulillah
nalhasil,alhasil
nalias,alias
naloclair,aloclair
naman,aman
nambil,ambil
ngambil2,ambil ambil
namigo,amigo
naamiin,amin
namnesia,amnesia
nanak,anak
nanaknya,anaknya
ndre,andre
naneh,aneh
nangkut,angkut
nanies,anies
nanj,anjing
nanjing,anjing
nasu,anjing
nanjir,anjir
nanjirr,anjir
nantek,antek
nantum,kalian
napadah,apa dah
napalagi,apa lagi
napasih,apa sih
napaan,apaan
napabila,apabila
napakah,apakah
napapun,apapun
naparat,aparat
narah,arah
nargumen,argumen
narsitektur,arsitektur
nartinya,arti
nartis,artis
nasset,aset
nashobiyyah,ashabiyyah
msia,asia
nasing,asing
nastagfirullah,astagfirullah
nastaghfirullah,astagfirullah
nasumsi,asumsi
nasiik,asyik
natap,atap
natas,atas
natau,atau
nate,ate
naura,aura
nawak,awak
nawal,awal
nayah,ayah
nayo,ayo
ncomeonla,ayolah
nbabi,babi
nbaca,baca
nbacot,bacot
nbr,badan penyelenggara jaminan sosial kesehatan
nbagaimana,bagaimana
nbgaimana,bagaimana
nbagi,bagi
nbagus,bagus
nbahasa,bahasa
nbahkan,bahkan
nbajingan,bajingan
nbalasan,balasan
nbambang,bambang
